,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 75,Ender Dragon 3,2041,Victory,202,216,15557,17,8
Match 1,Ender Dragon 3,1978,Victory,157,202,12806,17,16
Match 2,Ender Dragon 3,1266,Defeat,875,122,5792,12,1
Match 3,Ender Dragon 3,1291,Victory,107,18,7600,11,11
Match 4,Ender Dragon 3,1687,Victory,58,150,16717,16,11
Match 5,Ender Dragon 3,1691,Victory,92,210,18896,17,7
Match 6,Ender Dragon 3,1278,Defeat,107,8,7715,10,10
Match 7,Ender Dragon 3,1793,Victory,157,180,13481,17,20
Match 8,Ender Dragon 3,1903,Defeat,67,169,15054,15,16
Match 9,Ender Dragon 3,629,Victory,202,63,3679,7,0
Match 10,Ender Dragon 3,1836,Defeat,202,149,12026,14,6
Match 11,Ender Dragon 3,1897,Defeat,64,31,11540,14,8
Match 12,Ender Dragon 3,1885,Victory,266,184,13440,16,17
Match 13,Ender Dragon 3,1382,Defeat,111,24,5432,10,16
Match 14,Ender Dragon 3,1750,Victory,266,159,15097,17,9
Match 15,Ender Dragon 3,1347,Defeat,202,132,8382,10,8
Match 16,Ender Dragon 3,1568,Defeat,92,29,8281,12,17
Match 17,Ender Dragon 3,1101,Victory,104,18,7304,10,10
Match 18,Ender Dragon 3,2316,Victory,157,243,16612,18,24
Match 19,Ender Dragon 3,2207,Defeat,202,199,14893,16,21
Match 20,Ender Dragon 3,1290,Victory,157,167,10899,14,12
Match 21,Ender Dragon 3,1017,Defeat,157,101,5212,10,4
Match 22,Ender Dragon 3,1288,Defeat,157,112,8840,12,5
Match 23,Ender Dragon 3,1658,Victory,157,196,11961,16,12
Match 24,Ender Dragon 3,1601,Victory,238,183,14597,15,12
Match 25,Ender Dragon 3,1235,Victory,157,178,10694,15,8
Match 26,Ender Dragon 3,1703,Victory,75,163,8728,14,10
Match 27,Ender Dragon 3,1710,Defeat,157,150,9402,14,9
Match 28,Ender Dragon 3,1257,Victory,266,142,9324,14,6
Match 29,Ender Dragon 3,2287,Victory,238,202,17831,18,25
Match 30,Ender Dragon 3,1521,Defeat,64,35,9522,13,8
Match 31,Ender Dragon 3,1315,Defeat,202,146,9978,12,2
Match 32,Ender Dragon 3,1954,Victory,157,180,14068,16,12
Match 33,Ender Dragon 3,2467,Defeat,126,268,20125,18,27
Match 34,Ender Dragon 3,1465,Victory,157,180,14079,15,9
Match 35,Ender Dragon 3,2116,Victory,67,186,16339,17,16
Match 36,Ender Dragon 3,1497,Defeat,67,126,8527,13,9
Match 37,Ender Dragon 3,1840,Defeat,202,181,14252,15,9
Match 38,Ender Dragon 3,1701,Defeat,107,18,9341,12,12
Match 39,Ender Dragon 3,1412,Victory,157,188,11738,15,10
Match 40,Ender Dragon 3,1466,Defeat,157,174,7544,13,8
Match 41,Ender Dragon 3,1903,Victory,54,173,14334,16,14
Match 42,Ender Dragon 3,1841,Defeat,67,152,10376,13,15
Match 43,Ender Dragon 3,628,Defeat,104,2,2923,6,2
Match 44,Ender Dragon 3,1500,Victory,157,210,11813,15,14
Match 45,Ender Dragon 3,2036,Victory,202,198,17840,17,18
Match 46,Ender Dragon 3,2312,Victory,6,217,15774,18,24
Match 47,Ender Dragon 3,1333,Victory,22,153,13310,13,15
Match 48,Ender Dragon 3,2191,Victory,238,223,17471,18,23
